Ação\Mês,Jan-2022,Fev-2022,Mar-2022,Abr-2022,Mai-2022,Jun-2022,Jul-2022,Aug-2022,Set-2022,Out-2022,Nov-2022,Dez-2022,Jan-2023,Fev-2023,Mar-2023,Abr-2023,Mai-2023,Jun-2023,Jul-2023,Aug-2023
LREN3,22.97,26.35,23.01,26.36,22.4,25.25,21.32,23.88,25.22,27.62,29.66,21.69,19.52,20.8,18.05,16.18,15.28,19.02,19.42,18.33
CSNA3,19.13,19.51,20.28,19.95,15.92,17.2,11.91,11.49,10.79,10.2,9.88,12.32,12.78,16.21,15.01,13.45,12.5,11.81,11.65,13.07
COGN3,2.49,2.58,2.28,2.86,2.45,2.66,2.14,2.25,2.48,2.97,3.29,2.23,2.09,2.38,2.04,1.86,2.03,2.9,3.28,3.33
ITSA4,6.74,7.71,7.59,8.28,7.05,7.35,6.36,6.64,7.09,7.66,8.28,7.49,7.37,7.44,7.21,7.22,7.66,7.78,8.66,8.76
CIEL3,2.05,2.11,2.29,2.89,3,3.61,3.42,4.04,5.05,5.13,5.55,4.46,4.85,4.77,4.56,4.57,5.2,4.46,4.42,4.54
ITUB4,18.97,22.68,22.60,24.89,21.47,23.66,20.10,21.50,23.75,26.23,28.25,23.35,22.67,23.39,23.53,23.17,24.18,24.89,27.07,26.89
VIVT3,43.31,44.66,45.03,48.38,49.08,46.97,44.18,41.14,38.41,38.07,38.5,35.51,35.47,39.97,37.56,37.01,40,39.08,42.4,41.14
BBAS3,23.74,26.73,28.60,29.34,27.93,31.62,28.43,30.95,36.74,36.11,32.90,31.53,30.99,36.90,37.14,36.42,39.72,41.61,47.02,45.47
TIMS3,11.97,12.41,12.62,12.93,12.59,13.38,12.01,11.78,11.12,11.59,12.65,12.36,11.97,11.34,11.91,12.15,13.54,13.53,14.32,14.27
NTCO3,25.29,22.45,22.26,26.22,18.63,16.44,13.31,15.68,14.57,15.24,15.02,11.65,11.45,14.64,15.45,13.25,10.92,13.97,16.8,18.06
